customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Male,1,No,No,24,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,22.94,8457.37,No
23b8c1e9-3924-46de-beb1-3b9046685257,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.55,7239.27,No
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),103.13,6495.08,Yes
972a8469-1641-4f82-8b9d-2434e465e150,Female,0,No,No,20,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),83.68,7947.84,Yes
17fc695a-07a0-4a6e-8822-e8f36c031199,Female,0,Yes,No,62,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No,Two year,Yes,Mailed check,61.22,239.08,No
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Male,0,No,No,2,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),99.02,1635.62,Yes
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Female,0,No,No,62,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),50.73,4514.64,No
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Female,0,No,No,39,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,117.31,2116.45,No
47378190-96da-4dac-b2ff-5d2a386ecbe0,Female,0,Yes,No,24,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),99.6,3040.34,No
c241330b-01a9-471f-9e8a-774bcf36d58b,Male,1,Yes,No,1,Yes,No,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),74.36,7667.73,No
