customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6417e8e5-225d-42f8-ba2b-9d5fa8cce0d2,Female,1,No,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,50.11,6263.7,No
249ec63b-ee8e-4429-a659-ff80ecef24b9,Male,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,21.04,,No
ceac5a42-2723-4720-a6d1-dd06bf09af29,Female,0,Yes,No,4,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),48.8,3412.1,Yes
d93fe0f0-6fce-4549-90c7-564e39b7ae74,Female,1,No,No,15,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,92.37,4919.34,Yes
45755e1b-2295-4bbb-b0d3-4cbd5094e73b,Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),58.01,4436.84,No
e0e46957-b5fa-4ca2-abf1-79940f192192,Female,0,No,No,29,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,35.08,2464.83,Yes
b79aadf1-0946-49d4-aa9e-d8690cd05384,Female,0,Yes,No,53,Yes,Yes,DSL,No internet service,No,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),108.55,7377.09,No
9d8432a0-a3a1-4aff-ab4c-e8972683fa2f,Male,0,No,Yes,58,Yes,No,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,40.29,7618.16,No
fdd625bc-695c-47e6-a779-d9e2d10743c4,Female,1,No,Yes,25,Yes,Yes,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,No,Electronic check,53.12,262.97,No
a77c7652-8d76-4d6d-8363-771dd433136b,Male,0,Yes,No,7,Yes,Yes,No,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,81.9,8593.6,No
5b7a00a0-8362-4cdc-ac3d-45d1c7fd316d,Female,0,No,No,2,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,33.51,3151.97,Yes
